name,center,unit,ip_ev,source
NeV_3345,3345.821,Angstrom,97.11,Reefe+22
NeV_3425,3425.881,Angstrom,97.11,Reefe+22
FeVII_3758,3758.92,Angstrom,99.0,Reefe+22
FeV_3839,3839.27,Angstrom,54.8,Reefe+22
FeV_3891,3891.28,Angstrom,54.8,Reefe+22
NeIII_3970,3970.0,Angstrom,,cloudy
FeV_4180,4180.6,Angstrom,54.8,Reefe+22
HI_4861,4861.36,Angstrom,,cloudy
FeVII_4893,4893.37,Angstrom,99.0,Reefe+22
OIII_5007,5007.0,Angstrom,,cloudy
FeVI_5145,5145.75,Angstrom,75.0,Reefe+22
FeVII_5158,5158.89,Angstrom,99.0,Reefe+22
FeVI_5176,5176.04,Angstrom,75.0,Reefe+22
FeVII_5276,5276.38,Angstrom,99.0,Reefe+22
FeXIV_5303,5302.86,Angstrom,361.0,Reefe+22
CaV_5309,5309.11,Angstrom,67.1,Reefe+22
FeVI_5335,5335.18,Angstrom,75.0,Reefe+22
ArX_5533,5533.265,Angstrom,422.6,Reefe+22
FeVII_5720,5720.7,Angstrom,99.0,Reefe+22
FeVII_6087,6087.0,Angstrom,99.0,Reefe+22
FeX_6374,6374.51,Angstrom,235.04,Reefe+22
HI_6562,6562.85,Angstrom,,cloudy
NII_6584,6584.0,Angstrom,,cloudy
SII_6720,6720.0,Angstrom,,cloudy
SXII_7611,7611.0,Angstrom,504.78,Reefe+22
FeXI_7891,7891.8,Angstrom,262.1,Reefe+22
FeV_1,1.00817,um,,cloudy
FeVI_1,1.01089,um,75,Cann+18
FeV_1a,1.0214,um,,cloudy
FeV_1b,1.02599,um,,cloudy
FeVI_1a,1.03215,um,,cloudy
FeV_1c,1.0348,um,,cloudy
FeV_1d,1.03533,um,,cloudy
FeV_1e,1.04005,um,,cloudy
FeV_1f,1.06742,um,,cloudy
FeXIII_1,1.07462,um,331,Cann+18
FeIV_1,1.07611,um,,cloudy
FeIV_1a,1.07749,um,,cloudy
FeVI_1b,1.1087,um,,cloudy
FeIV_1b,1.11332,um,,cloudy
FeVI_1c,1.12664,um,,cloudy
FeVI_1d,1.23303,um,,cloudy
